0,1156,1232,50000000,0,511403337,511403337,50000000,YES,
1,1156,1232,50000000,20000000000,20508913602,508913602,50000000,YES,
2,1156,1232,50000000,40000000000,40509505026,509505026,50000000,YES,
3,1156,1232,50000000,60000000000,60510149342,510149342,50000000,YES,
4,1156,1232,50000000,80000000000,80513697970,513697970,50000000,YES,
5,1156,1232,50000000,100000000000,100519427528,519427528,50000000,YES,
6,1156,1232,50000000,120000000000,120527216230,527216230,50000000,YES,
7,1156,1232,50000000,140000000000,140537808614,537808614,50000000,YES,
8,1156,1232,50000000,160000000000,160537395225,537395225,50000000,YES,
9,1156,1232,50000000,180000000000,180510797952,510797952,50000000,YES,
